medication_name,image_filename
Janumet XR CP Tablet,Janumet_XR_CP_Tablet.jpg
Lasix Injection,Lasix_Injection.jpg
Viagra 50mg Tablet,Viagra_50mg_Tablet.jpg
Inderal LA 20 Tablet SR,Inderal_LA_20_Tablet_SR.jpg
Inderal 20mg Tablet,Inderal_20mg_Tablet.jpg
Novorapid 100IU Injection,Novorapid_100IU_Injection.jpg
Semi-Amaryl Tablet,Semi-Amaryl_Tablet.jpg
Semi Amaryl M Tablet PR,Semi_Amaryl_M_Tablet_PR.jpg
Victoza Solution for Injection,Victoza_Solution_for_Injection.jpg
Brufen 200 Tablet,Brufen_200_Tablet.jpg
Trajenta 5mg Tablet,Trajenta_5mg_Tablet.jpg
Risperdal Consta 25mg Injection,Risperdal_Consta_25mg_Injection.jpg
Inderal F 10 Tablet SR,Inderal_F_10_Tablet_SR.jpg
Amaryl 1mg Tablet,Amaryl_1mg_Tablet.jpg
Amaryl MV 2mg Tablet SR,Amaryl_MV_2mg_Tablet_SR.jpg
Zyrtec Tablet,Zyrtec_Tablet.jpg
Movadol LA Injection,Movadol_LA_Injection.jpg
Inderal LA 40 Tablet SR,Inderal_LA_40_Tablet_SR.jpg
Seretide 250 Evohaler,Seretide_250_Evohaler.jpg
Enzocort 6 Tablet,Enzocort_6_Tablet.jpg
Seretide 50mcg 250mcg Accuhaler,Seretide_50mcg_250mcg_Accuhaler.jpg
Galvus Met 50mg 850mg Tablet,Galvus_Met_50mg_850mg_Tablet.jpg
Singulair 4mg Chewable Tablet,Singulair_4mg_Chewable_Tablet.jpg
Trajenta Duo 2,Trajenta_Duo_2.5mg_1000mg_Tablet.jpg
Isordil 5 Sublingual tablet,Isordil_5_Sublingual_tablet.jpg
Lantus Solostar 100IU ml Solution for Injection,Lantus_Solostar_100IU_ml_Solution_for_Injection.jpg
Inderal 40 Tablet,Inderal_40_Tablet.jpg
Tenormin 25 Tablet,Tenormin_25_Tablet.jpg
Lyrica 150mg Capsule,Lyrica_150mg_Capsule.jpg
Trajenta Duo 2,Trajenta_Duo_2.5mg_500mg_Tablet.jpg
Amaryl 3mg Tablet,Amaryl_3mg_Tablet.jpg
Jardiance 25mg Tablet,Jardiance_25mg_Tablet.jpg
Zyrtec Drops,Zyrtec_Drops.jpg
Dalacin C 150mg Capsule,Dalacin_C_150mg_Capsule.jpg
